variable,mean_val_male_empl,mean_val_female_empl,sd_val_male_empl,sd_val_female_empl,n_valid_male_empl,n_valid_female_empl,mean_val_male_inc,mean_val_female_inc,sd_val_male_inc,sd_val_female_inc,n_valid_male_inc,n_valid_female_inc
age,40.1,36.989,10.746,9.168,1212,1031,41.43,37.234,8.911,7.607,686,482
bmi,23.652,22.539,3.291,3.198,1212,1031,24.049,22.282,3.093,2.99,686,482
bmi_over,0.3,0.3,0.459,0.458,1212,1031,0.3,0.301,0.459,0.459,686,482
bmi_under,0.3,0.3,0.459,0.458,1212,1031,0.297,0.301,0.457,0.459,686,482
calories,2348.685,1938.159,655.278,562.636,1183,1004,2391.804,1931.163,632.572,543.386,674,474
carbs,306.194,253.742,95.051,79.682,1183,1004,306.322,247.696,91.363,74.398,674,474
divorced,0.021,0.025,0.145,0.157,1212,1031,0.023,0.033,0.151,0.179,686,482
drink,0.608,0.114,0.488,0.319,1212,1031,0.687,0.139,0.464,0.346,686,482
edu_years,11.118,10.904,3.249,3.421,1208,1030,12.02,12.089,2.82,2.973,686,482
employed,0.754,0.65,0.431,0.477,1177,991,1,1,0,0,686,482
fat,85.882,73.931,40.629,36.211,1183,1004,88.402,75.26,41.156,36.324,674,474
height,169.224,158.579,6.175,5.635,1212,1031,169.89,159.079,5.938,5.498,686,482
hlth_exc,0.191,0.173,0.393,0.378,1212,1031,0.204,0.187,0.403,0.39,686,482
hlth_fair,0.254,0.244,0.436,0.43,1212,1031,0.241,0.239,0.428,0.427,686,482
hlth_good,0.518,0.538,0.5,0.499,1212,1031,0.528,0.554,0.5,0.498,686,482
married,0.792,0.801,0.406,0.399,1212,1031,0.875,0.838,0.331,0.369,686,482
protein,75.167,63.291,24.64,21.513,1183,1004,78.149,64.156,23.941,20.897,674,474
separated,0.004,0.005,0.064,0.07,1212,1031,0.001,0.004,0.038,0.064,686,482
smoke,0.533,0.007,0.499,0.082,1212,1031,0.564,0.004,0.496,0.064,686,482
weight,67.817,56.684,10.654,8.465,1212,1031,69.484,56.394,10.143,7.983,686,482
widowed,0.003,0.008,0.057,0.088,1212,1031,0.004,0.008,0.066,0.091,686,482
log_income,NA,NA,NA,NA,NA,NA,6.978,6.714,0.58,0.58,686,482
