term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
(Intercept),3.470335679822168,0.7492137229988388,4.631970255338671,4.723978278163365e-6,482,0.10934505375851411,A,1,female
height,0.012120829587502489,0.004552357218934331,2.6625392087178685,0.008027727020405476,482,0.10934505375851411,A,1,female
bmi_under,0.025575384202174714,0.06255378607521508,0.4088542965476575,0.6828372827428582,482,0.10934505375851411,A,1,female
bmi_over,-0.14386570646605729,0.06420812105055429,-2.240615425465956,0.025528568126802285,482,0.10934505375851411,A,1,female
edu_years,0.05275212577800551,0.010259451921718584,5.1418073967804006,4.0362018830247547e-7,482,0.10934505375851411,A,1,female
hlth_exc,0.33286855935310217,0.10374075135490311,3.2086576876076363,0.0014269377075477477,482,0.10934505375851411,A,1,female
hlth_good,0.3188576552019224,0.0920494099155396,3.4639836963049717,5.821660057377656e-4,482,0.10934505375851411,A,1,female
hlth_fair,0.3085061890186024,0.10304650106729024,2.9938540932811026,0.002903525506154435,482,0.10934505375851411,A,1,female
married,-0.007180957381494618,0.08168036393663178,-0.087915345076886,0.9299823025336118,482,0.10934505375851411,A,1,female
divorced,-0.041069703343706965,0.15346347387256618,-0.26761875192406137,0.7891130072597632,482,0.10934505375851411,A,1,female
widowed,-0.21528166127167106,0.30391266237534653,-0.7083668695771156,0.4790770370295009,482,0.10934505375851411,A,1,female
separated,0.539373078567951,0.23520553301113045,2.293198938234275,0.022287793251488747,482,0.10934505375851411,A,1,female
province_f23,0.016588048326629672,0.10194765908712769,0.16271141951825496,0.8708172637472033,482,0.10934505375851411,A,1,female
province_f32,0.14827797788649894,0.09533279133509506,1.55537224715577,0.12054664408406585,482,0.10934505375851411,A,1,female
province_f37,-0.036064604451792326,0.1250544935407735,-0.2883911119917783,0.7731775549740765,482,0.10934505375851411,A,1,female
province_f41,-0.08354973995123455,0.13351163730146784,-0.6257861984163983,0.5317662195136212,482,0.10934505375851411,A,1,female
province_f42,-0.06871538736286296,0.10138922028524962,-0.6777385916327031,0.4982789330480024,482,0.10934505375851411,A,1,female
province_f43,0.08423538153331385,0.10748761264383051,0.7836752483510362,0.43363488403858474,482,0.10934505375851411,A,1,female
province_f45,-0.012156879050054099,0.10454404475383401,-0.11628475900927165,0.9074777231661186,482,0.10934505375851411,A,1,female
