term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
(Intercept),5.036962890238675,0.7396108964179049,6.810287564222989,2.186626207107748e-11,686,0.092380986759662,A,1,male
height,0.0047100196962543625,0.0038787637500909597,1.214309506771045,0.22506189284934008,686,0.092380986759662,A,1,male
bmi_under,-0.09740385202432952,0.054069159849710474,-1.8014678292592536,0.07208338265561878,686,0.092380986759662,A,1,male
bmi_over,-0.014893416721447856,0.05119654439974542,-0.29090667927036723,0.7712136708539363,686,0.092380986759662,A,1,male
edu_years,0.05613409847374227,0.007983703685657439,7.031084905441322,5.110522535000706e-12,686,0.092380986759662,A,1,male
hlth_exc,0.15795270480509846,0.11038219699472533,1.4309617774018968,0.15291232858355147,686,0.092380986759662,A,1,male
hlth_good,0.13633520691701304,0.09767400504182203,1.3958187427518414,0.1632363247009187,686,0.092380986759662,A,1,male
hlth_fair,0.1024242569899358,0.104418194207129,0.9809043123917857,0.3269977267743073,686,0.092380986759662,A,1,male
married,0.041000201087502165,0.08891419354793129,0.46112099150289254,0.6448630328753732,686,0.092380986759662,A,1,male
divorced,0.014304727092620576,0.1346430414963811,0.1062418594651626,0.9154225966485009,686,0.092380986759662,A,1,male
widowed,-0.054927001388536775,0.16344700352483962,-0.336053890276363,0.7369365526258594,686,0.092380986759662,A,1,male
separated,-0.1768983314348861,0.10077613558715995,-1.7553593457836956,0.07965966298680209,686,0.092380986759662,A,1,male
province_f23,0.0435584034525778,0.0762407043271148,0.5713274009863307,0.5679713474230869,686,0.092380986759662,A,1,male
province_f32,0.16447792806387057,0.07772101507716148,2.1162606780235276,0.03469469982526838,686,0.092380986759662,A,1,male
province_f37,0.03436257482098341,0.08481016716496821,0.405170464457913,0.6854829141052152,686,0.092380986759662,A,1,male
province_f41,-0.025053744660422712,0.08085029096127787,-0.30987822508173607,0.7567509350591176,686,0.092380986759662,A,1,male
province_f42,-0.05165755730123852,0.10839642197647491,-0.47656146170996005,0.633831450925472,686,0.092380986759662,A,1,male
province_f43,0.07080394285731192,0.08293514625100301,0.8537266292751684,0.3935648156023359,686,0.092380986759662,A,1,male
province_f45,-0.22239973461773752,0.08038135777694562,-2.766807388783927,0.005818623149980599,686,0.092380986759662,A,1,male
province_f52,0.036409706299330234,0.08977162279609409,0.4055814651143234,0.6851809984139814,686,0.092380986759662,A,1,male
age,0.006929177887817356,0.003132873853788549,2.2117640898429345,0.027323235218692458,686,0.092380986759662,A,1,male
smoke,0.017621211311185592,0.0436295628700444,0.4038823713103055,0.6864294563753668,686,0.092380986759662,A,1,male
drink,0.019722748656611444,0.048979999139366695,0.40266943656925624,0.6873212201235781,686,0.092380986759662,A,1,male
(Intercept),5.036962890238675,0.7396108964179049,6.810287564222989,2.186626207107748e-11,686,0.092380986759662,A,2,male
height,0.0047100196962543625,0.0038787637500909597,1.214309506771045,0.22506189284934008,686,0.092380986759662,A,2,male
bmi_under,-0.09740385202432952,0.054069159849710474,-1.8014678292592536,0.07208338265561878,686,0.092380986759662,A,2,male
bmi_over,-0.014893416721447856,0.05119654439974542,-0.29090667927036723,0.7712136708539363,686,0.092380986759662,A,2,male
edu_years,0.05613409847374227,0.007983703685657439,7.031084905441322,5.110522535000706e-12,686,0.092380986759662,A,2,male
hlth_exc,0.15795270480509846,0.11038219699472533,1.4309617774018968,0.15291232858355147,686,0.092380986759662,A,2,male
hlth_good,0.13633520691701304,0.09767400504182203,1.3958187427518414,0.1632363247009187,686,0.092380986759662,A,2,male
hlth_fair,0.1024242569899358,0.104418194207129,0.9809043123917857,0.3269977267743073,686,0.092380986759662,A,2,male
married,0.041000201087502165,0.08891419354793129,0.46112099150289254,0.6448630328753732,686,0.092380986759662,A,2,male
divorced,0.014304727092620576,0.1346430414963811,0.1062418594651626,0.9154225966485009,686,0.092380986759662,A,2,male
widowed,-0.054927001388536775,0.16344700352483962,-0.336053890276363,0.7369365526258594,686,0.092380986759662,A,2,male
separated,-0.1768983314348861,0.10077613558715995,-1.7553593457836956,0.07965966298680209,686,0.092380986759662,A,2,male
province_f23,0.0435584034525778,0.0762407043271148,0.5713274009863307,0.5679713474230869,686,0.092380986759662,A,2,male
province_f32,0.16447792806387057,0.07772101507716148,2.1162606780235276,0.03469469982526838,686,0.092380986759662,A,2,male
province_f37,0.03436257482098341,0.08481016716496821,0.405170464457913,0.6854829141052152,686,0.092380986759662,A,2,male
province_f41,-0.025053744660422712,0.08085029096127787,-0.30987822508173607,0.7567509350591176,686,0.092380986759662,A,2,male
province_f42,-0.05165755730123852,0.10839642197647491,-0.47656146170996005,0.633831450925472,686,0.092380986759662,A,2,male
province_f43,0.07080394285731192,0.08293514625100301,0.8537266292751684,0.3935648156023359,686,0.092380986759662,A,2,male
province_f45,-0.22239973461773752,0.08038135777694562,-2.766807388783927,0.005818623149980599,686,0.092380986759662,A,2,male
province_f52,0.036409706299330234,0.08977162279609409,0.4055814651143234,0.6851809984139814,686,0.092380986759662,A,2,male
age,0.006929177887817356,0.003132873853788549,2.2117640898429345,0.027323235218692458,686,0.092380986759662,A,2,male
smoke,0.017621211311185592,0.0436295628700444,0.4038823713103055,0.6864294563753668,686,0.092380986759662,A,2,male
drink,0.019722748656611444,0.048979999139366695,0.40266943656925624,0.6873212201235781,686,0.092380986759662,A,2,male
(Intercept),5.470584014935351,0.7613472481939101,7.18539934033101,1.8655462386588357e-12,684,0.14745021270645087,A,3,male
height,0.003753317332904438,0.003947468170178735,0.9508163640834357,0.34205540777957966,684,0.14745021270645087,A,3,male
bmi_under,-0.08466352874909464,0.052442547011587015,-1.6144053554528635,0.10693087521872255,684,0.14745021270645087,A,3,male
bmi_over,-0.006031301337255312,0.048972442667558,-0.12315704524272736,0.9020212840180891,684,0.14745021270645087,A,3,male
edu_years,0.042692277678181234,0.009024710914081075,4.730597809129746,2.7546607906260513e-6,684,0.14745021270645087,A,3,male
hlth_exc,0.18265610061417747,0.1035577419921572,1.7638092246933184,0.07823968363182703,684,0.14745021270645087,A,3,male
hlth_good,0.14548089606436163,0.08821143226266036,1.6492294970472128,0.09958981039445584,684,0.14745021270645087,A,3,male
hlth_fair,0.10520736200566361,0.0975945677286782,1.078004282965315,0.2814367168550591,684,0.14745021270645087,A,3,male
married,0.03470301181192375,0.0869348838178913,0.39918396721641247,0.6898904055046071,684,0.14745021270645087,A,3,male
divorced,-0.04551453688336472,0.12342052787112302,-0.36877606722677014,0.7124162239786385,684,0.14745021270645087,A,3,male
widowed,-0.14071928622241583,0.1694529891556021,-0.8304325991747409,0.40660294496640415,684,0.14745021270645087,A,3,male
separated,-0.2817626025421277,0.13677442744034685,-2.060053241056457,0.03979594568437058,684,0.14745021270645087,A,3,male
province_f23,0.06388454640495189,0.07763811083744539,0.8228503465097188,0.4108986279420309,684,0.14745021270645087,A,3,male
province_f32,0.17995883043897137,0.07710837797452053,2.333842769957325,0.019911618291366163,684,0.14745021270645087,A,3,male
province_f37,0.10665458984238424,0.08260765133151313,1.2910981988141539,0.19713432341540305,684,0.14745021270645087,A,3,male
province_f41,0.022942705095937044,0.08149902584867558,0.2815089488129125,0.7784107763300732,684,0.14745021270645087,A,3,male
province_f42,-0.05328925615440897,0.10658419280819498,-0.4999733520551811,0.6172651607303923,684,0.14745021270645087,A,3,male
