panel,model,gender,term,estimate,std.error,statistic,p.value,n_obs,adj_r2
A,1,male,height,0.0047100196962543625,0.0038787637500909597,1.214309506771045,0.22506189284934008,686,0.092380986759662
A,1,male,bmi_under,-0.09740385202432952,0.054069159849710474,-1.8014678292592536,0.07208338265561878,686,0.092380986759662
A,1,male,bmi_over,-0.014893416721447856,0.05119654439974542,-0.29090667927036723,0.7712136708539363,686,0.092380986759662
A,2,male,height,0.0047100196962543625,0.0038787637500909597,1.214309506771045,0.22506189284934008,686,0.092380986759662
A,2,male,bmi_under,-0.09740385202432952,0.054069159849710474,-1.8014678292592536,0.07208338265561878,686,0.092380986759662
A,2,male,bmi_over,-0.014893416721447856,0.05119654439974542,-0.29090667927036723,0.7712136708539363,686,0.092380986759662
A,3,male,height,0.003753317332904438,0.003947468170178735,0.9508163640834357,0.34205540777957966,684,0.14745021270645087
A,3,male,bmi_under,-0.08466352874909464,0.052442547011587015,-1.6144053554528635,0.10693087521872255,684,0.14745021270645087
A,3,male,bmi_over,-0.006031301337255312,0.048972442667558,-0.12315704524272736,0.9020212840180891,684,0.14745021270645087
A,4,male,height,0.001530060059403963,0.003930881151131281,0.3892409870910552,0.6972302573335414,672,0.17014106863814893
A,4,male,bmi_under,-0.09268870247078065,0.05322491680646856,-1.7414532146251462,0.08209539505087443,672,0.17014106863814893
A,4,male,bmi_over,-0.008520247542244048,0.04843689798931667,-0.17590407098578628,0.8604261933961044,672,0.17014106863814893
A,5,male,height,4.7692520939989917e-4,0.003954796379063149,0.12059412512987025,0.9040514037990033,672,0.1827643944140943
A,5,male,bmi_under,-0.08152196484196499,0.0526867349851232,-1.5472958205700884,0.12229973316462897,672,0.1827643944140943
A,5,male,bmi_over,-0.002215990528142602,0.04816687725628378,-0.04600652262242114,0.9633197940054565,672,0.1827643944140943
A,6,male,height,6.230964727279776e-4,0.00397364882654132,0.15680713116018438,0.8754477359936357,672,0.1823657096545268
A,6,male,bmi_under,-0.07961001709866876,0.05251157639142077,-1.516046985625731,0.13001549300623205,672,0.1823657096545268
A,6,male,bmi_over,0.16815386961768763,0.2046154685366048,0.8218042888952242,0.4115031857569096,672,0.1823657096545268
A,6,male,bmi_over:edu_years,-0.014008367465454865,0.016273407870732767,-0.8608133942644239,0.38967251902911015,672,0.1823657096545268
A,7,male,height,2.515107495670167e-4,0.003933341097280504,0.06394328469018622,0.9490371550646816,672,0.1961851070309627
A,7,male,bmi_under,-0.07706488383648728,0.054963229017066406,-1.4021171101966767,0.1614088611517351,672,0.1961851070309627
A,7,male,bmi_over,-0.0020692290186597765,0.04900037651146956,-0.04222883916362215,0.9663306324152536,672,0.1961851070309627
B,1,male,height,0.002107347915999287,0.003913009511912749,0.5385491421842157,0.5903784780700765,686,0.09045545593205517
B,1,male,weight,0.002700889187302084,0.002144387607682478,1.259515386875901,0.2082867787363294,686,0.09045545593205517
B,2,male,height,0.002107347915999287,0.003913009511912749,0.5385491421842157,0.5903784780700765,686,0.09045545593205517
B,2,male,weight,0.002700889187302084,0.002144387607682478,1.259515386875901,0.2082867787363294,686,0.09045545593205517
B,3,male,height,0.0013460023112850943,0.0038976579929595767,0.3453361771906122,0.7299545931814548,684,0.146277874226313
B,3,male,weight,0.00253877542378302,0.0021553759443067866,1.1778805597645021,0.23927998264332204,684,0.146277874226313
B,4,male,height,-0.001302688635146888,0.0038001677963004784,-0.3427976618335315,0.7318655770557441,672,0.16904310960081348
B,4,male,weight,0.003068586770330428,0.0021128383987486783,1.452352802820977,0.1469037543891487,672,0.16904310960081348
B,5,male,height,-0.0022315204954001283,0.003852089222170896,-0.5793013522523046,0.5625949197084985,672,0.1823348214541668
B,5,male,weight,0.0029481450116876492,0.002121251993766601,1.3898136668113512,0.16508108435558447,672,0.1823348214541668
B,6,male,height,-0.0022315204954001283,0.003852089222170896,-0.5793013522523046,0.5625949197084985,672,0.1823348214541668
B,6,male,weight,0.0029481450116876492,0.002121251993766601,1.3898136668113512,0.16508108435558447,672,0.1823348214541668
B,7,male,height,-0.002082766313462692,0.004027359756465339,-0.517154274613564,0.6052429424965227,672,0.19571617584367773
B,7,male,weight,0.002504378605240718,0.0022995699944041046,1.0890638733915494,0.276571863150532,672,0.19571617584367773
