term,estimate,std.error,tau,panel,gender,n_obs
(Intercept),1.395176123611287,1.4766288612735623,0.1,A,female,471
height,0.02060039439948601,0.0074800504607342505,0.1,A,female,471
bmi_under,0.008703551288607269,0.08360304931783558,0.1,A,female,471
bmi_over,0.022365592495458036,0.09193929043226866,0.1,A,female,471
edu_years,0.040161442409073475,0.018265964268103584,0.1,A,female,471
hlth_exc,-0.037398020155336505,0.23097903284024948,0.1,A,female,471
hlth_good,0.033955097731763494,0.21784616466605755,0.1,A,female,471
hlth_fair,-0.10820376154434708,0.22544905337692686,0.1,A,female,471
married,0.013871629727762614,0.16228180031080486,0.1,A,female,471
divorced,-0.08408344218924278,0.22677517057031354,0.1,A,female,471
widowed,-0.08749261646011472,0.3618124838586934,0.1,A,female,471
separated,0.6072027595232167,0.44981414752980137,0.1,A,female,471
province_f23,0.4942142332194299,0.3271503890130742,0.1,A,female,471
province_f32,0.6127565445271367,0.4878485522386401,0.1,A,female,471
province_f37,0.15072939624113613,1.2246746233116927,0.1,A,female,471
province_f41,0.5859737689367711,0.5133733649969511,0.1,A,female,471
province_f42,0.7390454794089408,0.382419856084338,0.1,A,female,471
province_f43,0.8255804678445122,0.5452956236597694,0.1,A,female,471
province_f45,1.1278390950520714,0.45349388456278444,0.1,A,female,471
province_f52,0.40103665822352963,0.3879062022502487,0.1,A,female,471
age,0.014205270543965445,0.015864167870876352,0.1,A,female,471
smoke,0.7159201171015381,0.4411243606994283,0.1,A,female,471
drink,0.0812912787547581,0.11973694362158008,0.1,A,female,471
factor(occ_f)2,-0.29693805247018246,0.1279556738103375,0.1,A,female,471
factor(occ_f)3,-0.17451001519218468,0.18819467273691376,0.1,A,female,471
factor(occ_f)4,-0.4167247120963183,0.1538734701068652,0.1,A,female,471
factor(occ_f)6,-0.4035827101716067,0.18883537097722117,0.1,A,female,471
factor(occ_f)7,-0.5149134905327682,0.19262023239093737,0.1,A,female,471
factor(occ_f)8,0.9712092435856929,0.5594060460171179,0.1,A,female,471
factor(occ_f)11,-0.4939109679617126,0.16750980649803476,0.1,A,female,471
factor(occ_f)12,-1.113516253534307,0.7970934294315394,0.1,A,female,471
factor(occ_f)13,-0.06711157587917806,0.3563552295514986,0.1,A,female,471
factor(wu_f)2,0.5531268498851861,0.24098431436803452,0.1,A,female,471
factor(wu_f)3,0.23978168645737957,0.23893241085589875,0.1,A,female,471
factor(wu_f)4,0.04007053719098874,0.2878279498552243,0.1,A,female,471
factor(wu_f)5,-0.09324125671298668,0.26708285206561344,0.1,A,female,471
factor(wu_f)7,0.1923559337648025,0.2384473816610021,0.1,A,female,471
factor(wu_f)8,0.43091392772665854,0.323039038352631,0.1,A,female,471
factor(wu_f)9,-0.0983047848083832,0.29111672961539603,0.1,A,female,471
calories,5.476502006771638e-4,0.0012891154941171712,0.1,A,female,471
carbs,-0.002641059161665325,0.005174697956942952,0.1,A,female,471
fat,-0.0048532156019973835,0.011598488597518001,0.1,A,female,471
protein,-0.0014758560959722273,0.005961530975457921,0.1,A,female,471
diet_guide,0.02474797999058389,0.08951095887864399,0.1,A,female,471
diet_hifat,0.14468135978719826,0.1779961714058805,0.1,A,female,471
diet_hlthy,0.17615794028326692,0.4441190721747593,0.1,A,female,471
province_f21:cohort_f3,0.3081829034434895,0.36657629762032473,0.1,A,female,471
province_f23:cohort_f3,-0.05162272325081432,0.7634647430282647,0.1,A,female,471
province_f32:cohort_f3,-0.08245453317511056,0.45870279715819823,0.1,A,female,471
province_f37:cohort_f3,0.43683383822475624,1.2191684727801444,0.1,A,female,471
province_f41:cohort_f3,-0.13204725423896208,0.4576801294197608,0.1,A,female,471
province_f42:cohort_f3,-0.06645227665144345,0.3184787654247854,0.1,A,female,471
province_f43:cohort_f3,-0.3800203167960546,0.4585372435028611,0.1,A,female,471
province_f45:cohort_f3,-0.24581059151930718,0.34798962428507413,0.1,A,female,471
province_f52:cohort_f3,0.22181770599934522,0.32501859703634134,0.1,A,female,471
province_f21:cohort_f4,0.6796074399444876,0.4540370982740454,0.1,A,female,471
province_f23:cohort_f4,0.15370333515619514,0.26211044507422476,0.1,A,female,471
province_f32:cohort_f4,0.21540457586442913,0.4126325749988046,0.1,A,female,471
province_f37:cohort_f4,0.5315291006552458,1.237445500210876,0.1,A,female,471
province_f41:cohort_f4,0.1326958095636163,0.4262609230415869,0.1,A,female,471
province_f42:cohort_f4,-0.0866615094833008,0.33066335458893403,0.1,A,female,471
province_f43:cohort_f4,0.00880056539232388,0.49582776413661933,0.1,A,female,471
province_f45:cohort_f4,-0.1971223955407537,0.34913016287651294,0.1,A,female,471
province_f52:cohort_f4,-0.0050319858443795985,0.37843220429911917,0.1,A,female,471
province_f21:cohort_f5,0.8803618825082408,0.583169062215609,0.1,A,female,471
province_f23:cohort_f5,-0.5146645852671476,0.46719833863979643,0.1,A,female,471
