term,estimate,std.error,statistic,p.value,panel,model,gender,n_obs
(Intercept),0.14646923860922606,1.4881758567069086,0.09842199626416376,0.9215972089818779,A,1,female,990
height,-0.006966027055861863,0.008994323449688498,-0.77449149953609,0.43864019310293206,A,1,female,990
bmi_under,-0.08918563916479577,0.11159278942600902,-0.7992061102113575,0.42417090954559744,A,1,female,990
bmi_over,-0.2582964638328365,0.1056673037173381,-2.4444312928035346,0.014508071188260217,A,1,female,990
edu_years,0.095583193530864,0.01458814078497257,6.552116197653197,5.6727372470294587e-11,A,1,female,990
hlth_exc,0.6698253123892819,0.24919903977127647,2.6879128948653688,0.007190014967356956,A,1,female,990
hlth_good,0.4222734894705706,0.22557701690459347,1.8719703596806085,0.06121070430304681,A,1,female,990
hlth_fair,0.38398579131325333,0.2317069227822843,1.657204656220189,0.09747810549865112,A,1,female,990
married,0.5029938382193929,0.17679833659775,2.8450145397227353,0.004440939588371889,A,1,female,990
divorced,0.5569347609457771,0.314242899206949,1.7723065894290901,0.07634367800838576,A,1,female,990
widowed,0.8427900108026549,0.5334824726294238,1.5797895039526204,0.11415508010796463,A,1,female,990
separated,-0.47864491915164714,0.5679863764912705,-0.8427049291366296,0.3993934897656997,A,1,female,990
province_f23,0.07805795405619759,0.1859312582202503,0.4198215770891614,0.6746158010382461,A,1,female,990
province_f32,0.2590931620464788,0.17643962991996587,1.468452196164802,0.14198143226601032,A,1,female,990
province_f37,0.2602680006322819,0.18099159193607914,1.4380115553887212,0.15043077549870523,A,1,female,990
province_f41,-0.4572912207525652,0.19141860747715972,-2.3889590817712416,0.0168961840567826,A,1,female,990
province_f42,-0.18181324957777562,0.18342476023570778,-0.9912143232142634,0.321580938041182,A,1,female,990
province_f43,-0.6181412527907054,0.16450716356600592,-3.7575339540924366,1.715960890242091e-4,A,1,female,990
province_f45,0.04208749418920143,0.18358451918951407,0.2292540480810071,0.818671466677404,A,1,female,990
province_f52,0.010308894101163734,0.18615632272436827,0.0553776200039553,0.9558376251220944,A,1,female,990
age,-0.00920353742425985,0.007876147001926173,-1.1685329669455198,0.2425918494237022,A,1,female,990
smoke,0.3091906462725946,0.4389505114036858,0.7043861169767358,0.481192349355664,A,1,female,990
drink,0.0989649523635593,0.13564685388487044,0.7295779410229101,0.4656482099253848,A,1,female,990
child_u6,-0.2448048623630257,0.14349830761536034,-1.7059773486612277,0.0880122970346767,A,1,female,990
(Intercept),0.14646923860922606,1.4881758567069086,0.09842199626416376,0.9215972089818779,A,2,female,990
height,-0.006966027055861863,0.008994323449688498,-0.77449149953609,0.43864019310293206,A,2,female,990
bmi_under,-0.08918563916479577,0.11159278942600902,-0.7992061102113575,0.42417090954559744,A,2,female,990
bmi_over,-0.2582964638328365,0.1056673037173381,-2.4444312928035346,0.014508071188260217,A,2,female,990
edu_years,0.095583193530864,0.01458814078497257,6.552116197653197,5.6727372470294587e-11,A,2,female,990
hlth_exc,0.6698253123892819,0.24919903977127647,2.6879128948653688,0.007190014967356956,A,2,female,990
hlth_good,0.4222734894705706,0.22557701690459347,1.8719703596806085,0.06121070430304681,A,2,female,990
hlth_fair,0.38398579131325333,0.2317069227822843,1.657204656220189,0.09747810549865112,A,2,female,990
married,0.5029938382193929,0.17679833659775,2.8450145397227353,0.004440939588371889,A,2,female,990
divorced,0.5569347609457771,0.314242899206949,1.7723065894290901,0.07634367800838576,A,2,female,990
widowed,0.8427900108026549,0.5334824726294238,1.5797895039526204,0.11415508010796463,A,2,female,990
separated,-0.47864491915164714,0.5679863764912705,-0.8427049291366296,0.3993934897656997,A,2,female,990
province_f23,0.07805795405619759,0.1859312582202503,0.4198215770891614,0.6746158010382461,A,2,female,990
province_f32,0.2590931620464788,0.17643962991996587,1.468452196164802,0.14198143226601032,A,2,female,990
province_f37,0.2602680006322819,0.18099159193607914,1.4380115553887212,0.15043077549870523,A,2,female,990
province_f41,-0.4572912207525652,0.19141860747715972,-2.3889590817712416,0.0168961840567826,A,2,female,990
province_f42,-0.18181324957777562,0.18342476023570778,-0.9912143232142634,0.321580938041182,A,2,female,990
province_f43,-0.6181412527907054,0.16450716356600592,-3.7575339540924366,1.715960890242091e-4,A,2,female,990
province_f45,0.04208749418920143,0.18358451918951407,0.2292540480810071,0.818671466677404,A,2,female,990
province_f52,0.010308894101163734,0.18615632272436827,0.0553776200039553,0.9558376251220944,A,2,female,990
age,-0.00920353742425985,0.007876147001926173,-1.1685329669455198,0.2425918494237022,A,2,female,990
smoke,0.3091906462725946,0.4389505114036858,0.7043861169767358,0.481192349355664,A,2,female,990
drink,0.0989649523635593,0.13564685388487044,0.7295779410229101,0.4656482099253848,A,2,female,990
child_u6,-0.2448048623630257,0.14349830761536034,-1.7059773486612277,0.0880122970346767,A,2,female,990
(Intercept),-0.2912864727977174,1.5434485479128957,-0.18872444642978545,0.8503087904015706,A,3,female,965
height,-0.006776369663540792,0.0092296141691418,-0.7341985850499405,0.4628277157342971,A,3,female,965
bmi_under,-0.09686406031777742,0.11405092515683637,-0.8493053448235992,0.3957114075363559,A,3,female,965
bmi_over,-0.30030003026131274,0.10892150062730385,-2.7570317020222466,0.00583286961514251,A,3,female,965
edu_years,0.09632188435227491,0.015178796851099822,6.345818136784382,2.2124647579467272e-10,A,3,female,965
hlth_exc,0.7204698082909152,0.26191143929421323,2.7508145892077254,0.005944728017345254,A,3,female,965
hlth_good,0.4829864646196206,0.2381205868238382,2.0283272062357818,0.04252686404525851,A,3,female,965
hlth_fair,0.47431426919216507,0.24418467605171096,1.942440765986968,0.052083764229540995,A,3,female,965
married,0.4903609944781245,0.1837551880781514,2.668555917286935,0.007617809698985216,A,3,female,965
divorced,0.5339708956584464,0.3233790807203175,1.6512227521614622,0.09869309892756994,A,3,female,965
widowed,0.7958292154510385,0.5298169128383654,1.5020834483889478,0.13307555890402703,A,3,female,965
separated,-0.5200569779815829,0.5403529160058715,-0.9624394771951816,0.3358288914107437,A,3,female,965
province_f23,0.08421097443777935,0.19351863757620252,0.43515692076231827,0.6634485294743171,A,3,female,965
province_f32,0.2465052842497015,0.18069229907198284,1.3642268404117244,0.17249618317425774,A,3,female,965
province_f37,0.2299758110399365,0.18536700178144297,1.240651296238203,0.21473459350468307,A,3,female,965
province_f41,-0.5551313771241329,0.19994370673597833,-2.776438359508723,0.005495805500384112,A,3,female,965
province_f42,-0.190334850712179,0.19006369086291688,-1.0014266788571295,0.31662057133956767,A,3,female,965
province_f43,-0.6127143461609641,0.1706264496725316,-3.5909693212095375,3.294504178315876e-4,A,3,female,965
