term,ame,panel,model,gender,n_obs
height,-0.0022693218820051984,A,1,female,990
weight,NA,A,1,female,990
bmi_under,-0.029053996043121928,A,1,female,990
bmi_over,-0.08414521113970876,A,1,female,990
height,-0.0022693218820051984,A,2,female,990
weight,NA,A,2,female,990
bmi_under,-0.029053996043121928,A,2,female,990
bmi_over,-0.08414521113970876,A,2,female,990
height,-0.002179561781388358,A,3,female,965
weight,NA,A,3,female,965
bmi_under,-0.031155502775273503,A,3,female,965
bmi_over,-0.09658895565111826,A,3,female,965
height,-0.0025979732276495164,A,4,female,965
weight,NA,A,4,female,965
bmi_under,-0.039379474787173824,A,4,female,965
bmi_over,-0.09598906637573733,A,4,female,965
height,-0.002947020272377355,A,5,female,965
weight,NA,A,5,female,965
bmi_under,-0.04527207935239457,A,5,female,965
bmi_over,0.08283879911227084,A,5,female,965
height,-0.002947020272377355,A,6,female,965
weight,NA,A,6,female,965
bmi_under,-0.04527207935239457,A,6,female,965
bmi_over,0.08283879911227084,A,6,female,965
height,-0.002947020272377355,A,7,female,965
weight,NA,A,7,female,965
bmi_under,-0.04527207935239457,A,7,female,965
bmi_over,0.08283879911227084,A,7,female,965
height,-0.002947020272377355,A,8,female,965
weight,NA,A,8,female,965
bmi_under,-0.04527207935239457,A,8,female,965
bmi_over,0.08283879911227084,A,8,female,965
height,3.2901728877001324e-4,B,1,female,990
weight,-0.0035226550084089636,B,1,female,990
bmi_under,NA,B,1,female,990
bmi_over,NA,B,1,female,990
height,3.2901728877001324e-4,B,2,female,990
weight,-0.0035226550084089636,B,2,female,990
bmi_under,NA,B,2,female,990
bmi_over,NA,B,2,female,990
height,6.071482924078475e-4,B,3,female,965
weight,-0.0037687879864739112,B,3,female,965
bmi_under,NA,B,3,female,965
bmi_over,NA,B,3,female,965
height,1.6765079144662767e-5,B,4,female,965
weight,-0.0035881182367825575,B,4,female,965
bmi_under,NA,B,4,female,965
bmi_over,NA,B,4,female,965
height,1.6765079144662767e-5,B,5,female,965
weight,-0.0035881182367825575,B,5,female,965
bmi_under,NA,B,5,female,965
bmi_over,NA,B,5,female,965
height,1.6765079144662767e-5,B,6,female,965
weight,-0.0035881182367825575,B,6,female,965
bmi_under,NA,B,6,female,965
bmi_over,NA,B,6,female,965
height,1.6765079144662767e-5,B,7,female,965
weight,-0.0035881182367825575,B,7,female,965
bmi_under,NA,B,7,female,965
bmi_over,NA,B,7,female,965
height,1.6765079144662767e-5,B,8,female,965
weight,-0.0035881182367825575,B,8,female,965
bmi_under,NA,B,8,female,965
bmi_over,NA,B,8,female,965
height,0.002902159689847226,A,1,male,1173
weight,NA,A,1,male,1173
bmi_under,-0.018568801340799853,A,1,male,1173
bmi_over,0.03971083039689835,A,1,male,1173
height,0.002902159689847226,A,2,male,1173
weight,NA,A,2,male,1173
bmi_under,-0.018568801340799853,A,2,male,1173
bmi_over,0.03971083039689835,A,2,male,1173
height,0.0032139567188594117,A,3,male,1145
weight,NA,A,3,male,1145
bmi_under,-0.018793730171013216,A,3,male,1145
bmi_over,0.047600777428049,A,3,male,1145
height,0.003121463788719403,A,4,male,1145
weight,NA,A,4,male,1145
bmi_under,-0.019758801363495348,A,4,male,1145
bmi_over,0.04778577009008127,A,4,male,1145
height,0.0031390401670551345,A,5,male,1145
weight,NA,A,5,male,1145
bmi_under,-0.019729384595561065,A,5,male,1145
bmi_over,0.21389661296157542,A,5,male,1145
height,0.0031390401670551345,A,6,male,1145
weight,NA,A,6,male,1145
bmi_under,-0.019729384595561065,A,6,male,1145
bmi_over,0.21389661296157542,A,6,male,1145
height,0.0031390401670551345,A,7,male,1145
weight,NA,A,7,male,1145
bmi_under,-0.019729384595561065,A,7,male,1145
bmi_over,0.21389661296157542,A,7,male,1145
height,0.0031390401670551345,A,8,male,1145
weight,NA,A,8,male,1145
bmi_under,-0.019729384595561065,A,8,male,1145
bmi_over,0.21389661296157542,A,8,male,1145
height,0.0010302891066447837,B,1,male,1173
weight,0.0023981566324329574,B,1,male,1173
bmi_under,NA,B,1,male,1173
bmi_over,NA,B,1,male,1173
height,0.0010302891066447837,B,2,male,1173
weight,0.0023981566324329574,B,2,male,1173
bmi_under,NA,B,2,male,1173
bmi_over,NA,B,2,male,1173
height,0.0011764527784976868,B,3,male,1145
weight,0.002538541528698045,B,3,male,1145
bmi_under,NA,B,3,male,1145
bmi_over,NA,B,3,male,1145
height,0.001074695086881593,B,4,male,1145
weight,0.0025559850624569326,B,4,male,1145
bmi_under,NA,B,4,male,1145
bmi_over,NA,B,4,male,1145
height,0.001074695086881593,B,5,male,1145
weight,0.0025559850624569326,B,5,male,1145
bmi_under,NA,B,5,male,1145
bmi_over,NA,B,5,male,1145
height,0.001074695086881593,B,6,male,1145
weight,0.0025559850624569326,B,6,male,1145
bmi_under,NA,B,6,male,1145
bmi_over,NA,B,6,male,1145
height,0.001074695086881593,B,7,male,1145
weight,0.0025559850624569326,B,7,male,1145
bmi_under,NA,B,7,male,1145
bmi_over,NA,B,7,male,1145
height,0.001074695086881593,B,8,male,1145
weight,0.0025559850624569326,B,8,male,1145
bmi_under,NA,B,8,male,1145
bmi_over,NA,B,8,male,1145
