term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
(Intercept),5.161153339002555,1.0019937829723613,5.150883594998232,4.0873705236525426e-7,471,0.2851326573462801,A,female
height,0.015966763269037947,0.004814764194235808,3.3162087747003706,9.962836025262467e-4,471,0.2851326573462801,A,female
bmi_under,0.025426601646229317,0.06520796436213998,0.38993092170489696,0.6967962130737897,471,0.2851326573462801,A,female
bmi_over,-0.1591638481610963,0.06446624808644662,-2.468948525555017,0.013970145237635246,471,0.2851326573462801,A,female
edu_years,0.02858677423986423,0.011960802195186327,2.390038207585198,0.0173110023506461,471,0.2851326573462801,A,female
hlth_exc,0.2596826747339958,0.12621868996111152,2.05740270964629,0.04029848297526505,471,0.2851326573462801,A,female
hlth_good,0.2346745415309101,0.1126800925792009,2.082661951719301,0.037920056784830604,471,0.2851326573462801,A,female
hlth_fair,0.20463211766550513,0.12780723187233603,1.6010996769721753,0.11014823687921309,471,0.2851326573462801,A,female
married,-0.05723750646352763,0.09993385239299753,-0.572753927652431,0.5671347349015735,471,0.2851326573462801,A,female
divorced,-0.09550556409866226,0.15587552055295006,-0.6127040587249846,0.5404219604665423,471,0.2851326573462801,A,female
widowed,-0.23290229105064195,0.2192717003947099,-1.0621630179881658,0.28880575412323,471,0.2851326573462801,A,female
separated,0.6388542632061613,0.44168523879123234,1.4464016614060387,0.14885162643823321,471,0.2851326573462801,A,female
province_f23,0.2731533843482456,0.1606627092676434,1.7001666758476432,0.08988081152636436,471,0.2851326573462801,A,female
province_f32,0.41953284221996545,0.2501180355522433,1.677339426138007,0.09426124050947579,471,0.2851326573462801,A,female
province_f37,1.200789409416405,0.8059051996149132,1.4899884130170395,0.13701931006845686,471,0.2851326573462801,A,female
province_f41,-0.44128649159964195,0.3189807302929878,-1.3834268019711247,0.16730950435672795,471,0.2851326573462801,A,female
province_f42,0.338047632128361,0.2630653925995025,1.2850327015192506,0.199528174775793,471,0.2851326573462801,A,female
province_f43,-0.15718666567914244,0.19235913486836997,-0.8171520722772235,0.4143304014528115,471,0.2851326573462801,A,female
province_f45,0.48190032917212106,0.26801779685779253,1.798016157217397,0.0729321738278048,471,0.2851326573462801,A,female
province_f52,0.143358985337314,0.1908270838469677,0.7512507262977389,0.45294574529486065,471,0.2851326573462801,A,female
age,0.021680568264068563,0.010731084058900992,2.020352104695837,0.0440162290591079,471,0.2851326573462801,A,female
smoke,0.30274299411307454,0.27825461487032666,1.088007091110277,0.2772503878808138,471,0.2851326573462801,A,female
