model,term,coef,se,t_stat,p_value,N,R2
(1)NoCtrl,log_minwage,-0.0197,0.0245,-0.803,0.4219,23147,0.0469
(2)Ctrl,log_minwage,-0.0246,0.0244,-1.005,0.3149,23051,0.0526
(2)Ctrl,male,-0.0078,0.0042,-1.843,0.0653,23051,0.0526
(2)Ctrl,log_age,0.0641,0.0072,8.96,0,23051,0.0526
(2)Ctrl,edu_years,-0.0016,6e-4,-2.568,0.0102,23051,0.0526
(3)NoCtrl_DID,log_minwage,-0.0544,0.028,-1.947,0.0516,23147,0.0473
(3)NoCtrl_DID,log_minwage:post2004,0.06,0.0249,2.412,0.0158,23147,0.0473
(4)Ctrl_DID,log_minwage,-0.0605,0.0277,-2.182,0.0291,23051,0.0531
(4)Ctrl_DID,male,-0.0077,0.0042,-1.81,0.0703,23051,0.0531
(4)Ctrl_DID,log_age,0.0641,0.0071,8.983,0,23051,0.0531
(4)Ctrl_DID,edu_years,-0.0016,6e-4,-2.567,0.0103,23051,0.0531
(4)Ctrl_DID,log_minwage:post2004,0.0617,0.0247,2.502,0.0124,23051,0.0531
