model,term,coef,se,t_stat,p_value,N,R2
nonSOE_triple,log_minwage,-0.0602,0.029,-2.078,0.0377,23051,0.0537
nonSOE_triple,nonSOE,0.0437,0.1659,0.263,0.7922,23051,0.0537
nonSOE_triple,male,-0.0073,0.0042,-1.732,0.0833,23051,0.0537
nonSOE_triple,log_age,0.0646,0.0071,9.06,0,23051,0.0537
nonSOE_triple,edu_years,-0.0013,6e-4,-2.113,0.0346,23051,0.0537
nonSOE_triple,log_minwage:post2004,0.0378,0.0284,1.333,0.1824,23051,0.0537
nonSOE_triple,log_minwage:nonSOE,-0.0093,0.0292,-0.319,0.7495,23051,0.0537
nonSOE_triple,post2004:nonSOE,-0.205,0.2216,-0.925,0.355,23051,0.0537
nonSOE_triple,log_minwage:post2004:nonSOE,0.0399,0.0381,1.047,0.295,23051,0.0537
lowedu_triple,log_minwage,-0.0794,0.029,-2.735,0.0062,23051,0.0533
lowedu_triple,lowedu,-0.147,0.1644,-0.895,0.371,23051,0.0533
lowedu_triple,male,-0.0077,0.0042,-1.809,0.0705,23051,0.0533
lowedu_triple,log_age,0.0634,0.0072,8.799,0,23051,0.0533
lowedu_triple,edu_years,-0.0018,8e-4,-2.35,0.0188,23051,0.0533
lowedu_triple,log_minwage:post2004,0.0628,0.0304,2.065,0.0389,23051,0.0533
lowedu_triple,log_minwage:lowedu,0.0242,0.029,0.837,0.4029,23051,0.0533
lowedu_triple,post2004:lowedu,-0.0033,0.2158,-0.015,0.9879,23051,0.0533
lowedu_triple,log_minwage:post2004:lowedu,0.0013,0.0374,0.036,0.9714,23051,0.0533
